127.0.0.1 - - [03/Sep/2019:17:57:39 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Sep/2019:17:57:46 +0530] "GET /DepartmentCrudHib/DepartmentSearch.jsp?departmenttno=11 HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [03/Sep/2019:17:58:56 +0530] "GET /DepartmentCrudHib/DepartmentSearch.jsp?departmenttno=11 HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [03/Sep/2019:17:59:11 +0530] "GET /DepartmentCrudHib/DepartmentSearch.jsp?departmenttno=11 HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [03/Sep/2019:17:59:50 +0530] "GET /DepartmentCrudHib/DepartmentSearch.html HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [03/Sep/2019:17:59:50 +0530] "GET /DepartmentCrudHib/DepartmentSearch.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2019:17:59:50 +0530] "GET /DepartmentCrudHib/DepartmentSearch.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2019:17:59:50 +0530] "GET /DepartmentCrudHib/DepartmentSearch.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2019:17:59:51 +0530] "GET /DepartmentCrudHib/DepartmentSearch.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2019:17:59:56 +0530] "GET /DepartmentCrudHib/DepartmentSearch.jsp?deptno=1 HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [03/Sep/2019:18:00:05 +0530] "GET /DepartmentCrudHib/DepartmentSearch.jsp?deptno=11 HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [03/Sep/2019:18:00:11 +0530] "GET /DepartmentCrudHib/DepartmentSearch.jsp?deptno=111 HTTP/1.1" 200 301
